Country,US$,"Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop",Population,People_partially_vaccinated,People_fully_vaccinated,2020
Luxembourg,"131,782","4,008","100,417","1,212","633,859",110434.0,42986.0,73.205
Switzerland,"94,696","49,524","70,951","1,201","8,703,776",1228368.0,729842.0,747.427
Ireland,"94,556","212,796","48,377",961,"4,980,557",789526.0,331477.0,418.716
Norway,"81,995","13,985","18,999",125,"5,454,156",1025429.0,299631.0,362.009
Denmark,"67,218","8,721","40,942",420,"5,808,065",1022477.0,488202.0,352.243
Iceland,"65,273",103,"18,247",85,"342,963",70058.0,28614.0,21.715
Singapore,"64,103",288,"10,305",5,"5,886,067",1131658.0,535864.0,339.981
Australia,"62,723","2,149","1,143",35,"25,729,274",159294.0,0.0,"1,359.33"
Qatar,"59,143","20,057","67,677",119,"2,807,805",100000.0,0.0,146.09
Sweden,"58,977",.,"84,488","1,342","10,148,191",1667542.0,649361.0,537.61
Netherlands,"58,003",.,"78,690",977,"17,164,371",2957777.0,826135.0,909.503
Finland,"54,330","35,185","14,791",156,"5,547,419",1267678.0,116412.0,270.637
Austria,"53,859","31,522","63,784","1,071","9,046,331",1658035.0,676423.0,428.622
Germany,"51,860","246,677","35,831",940,"83,992,315",15906352.0,5425990.0,"3,803.01"
Belgium,"50,103","839,627","79,328","2,015","11,628,838",2204943.0,696692.0,513.087
San Marino,"49,765",394,"145,820","2,501","33,987",11989.0,8435.0,1.505
Canada,"49,222","73,447","27,900",614,"37,999,006",8641720.0,884012.0,"1,643.41"
Israel,"47,602","3,432","90,886",685,"9,197,590",5341887.0,4965696.0,402.639
New Zealand,"47,499",100,516,5,"5,002,100",105391.0,30194.0,209.329
France,"44,995","4,650,143","77,367","1,510","65,385,892",11982970.0,4269590.0,"2,598.91"
Japan,"42,928","30,296","3,990",74,"126,174,664",1175324.0,678405.0,"5,048.69"
Italy,"34,997","533,005","62,422","1,892","60,392,563",10311621.0,4332143.0,"1,884.94"
Malta,"31,576",558,"66,931",909,"442,458",183987.0,80671.0,14.559
Spain,"30,996","175,262","71,576","1,632","46,768,878",9002054.0,3328701.0,"1,278.21"
Cyprus,"29,551","12,172","42,419",224,"1,214,185",145357.0,57084.0,23.967
Slovenia,"28,104","13,819","108,938","1,981","2,079,160",368446.0,142150.0,52.838
Estonia,"26,470","18,339","86,024",775,"1,327,229",277745.0,80926.0,31.005
Kuwait,"25,290","14,447","57,205",326,"4,319,474",500000.0,38000.0,107.936
Portugal,"25,065","25,960","81,338","1,663","10,173,535",1772322.0,657164.0,231.348
Bahrain,"24,294","10,988","89,562",319,"1,746,975",586279.0,456184.0,33.904
Saudi Arabia,"22,700","8,360","11,308",192,"35,233,544",0.0,0.0,701.467
Lithuania,"22,245","16,589","83,999","1,369","2,692,579",561712.0,209354.0,55.688
Latvia,"19,824","6,460","57,547","1,062","1,869,901",174005.0,27804.0,33.478
Greece,"19,673","35,351","28,457",856,"10,383,345",1671324.0,768886.0,189.259
Hungary,"18,075","270,353","74,696","2,429","9,641,234",3090994.0,1325587.0,154.562
Poland,"16,930","344,909","68,086","1,545","37,814,322",6236689.0,2248126.0,594.18
Croatia,"16,247","13,241","71,598","1,544","4,085,513",500233.0,117283.0,56.925
Oman,"16,212","16,989","32,948",341,"5,206,730",173789.0,19019.0,63.192
Barbados,"16,036",79,"12,967",153,"287,649",66900.0,0.0,4.365
Trinidad and Tobago,"15,752",518,"5,990",104,"1,403,013",11686.0,0.0,21.53
Uruguay,"15,653","32,903","41,527",420,"3,483,093",1025979.0,284612.0,55.711
Chile,"15,617","46,293","55,941","1,265","19,243,575",7664226.0,5270056.0,252.756
Romania,"14,968","74,373","52,576","1,313","19,137,541",2471779.0,1527201.0,247.214
Antigua and Barbuda,"13,824",230,"12,155",304,"98,558",27032.0,0.0,1.39
Panama,"13,690","4,217","82,112","1,411","4,367,339",354009.0,175008.0,52.938
China,"11,819",295,63,3,"1,439,323,776",0.0,0.0,"14,722.84"
Costa Rica,"11,806","24,766","43,379",588,"5,130,219",354291.0,232508.0,61.45
Maldives,"11,801","2,999","46,754",122,"547,907",278069.0,35294.0,3.755
Russia,"11,654","272,895","31,794",705,"145,983,181",9731470.0,5738147.0,"1,473.58"
Malaysia,"11,604","15,574","11,040",41,"32,687,354",687176.0,438220.0,338.276
Bulgaria,"11,321","71,317","53,853","2,087","6,907,614",507245.0,126884.0,68.561
Kazakhstan,"9,828","33,908","14,343",171,"18,950,814",338582.0,105392.0,164.792
Seychelles,"9,666",283,"44,829",243,"98,820",66250.0,45944.0,1.131
Mauritius,"9,639",405,936,9,"1,273,410",3843.0,0.0,11.396
Turkey,"9,327","483,661","45,260",399,"85,042,925",12038403.0,7773371.0,719.537
Mexico,"9,246","260,954","17,542","1,610","129,983,471",10134800.0,3286908.0,"1,076.16"
Guyana,"9,192","1,173","14,122",323,"789,502",60172.0,0.0,5.766
Grenada,"9,171",2,"1,373",9,"112,928",9821.0,0.0,1.037
Argentina,"9,122","241,643","55,639","1,269","45,517,627",5305604.0,787412.0,388.279
Montenegro,"9,064","4,391","150,079","2,186","628,128",37519.0,13290.0,4.79
Serbia,"8,748","80,801","73,733",658,"8,709,929",1820747.0,1220993.0,52.96
Gabon,"8,601","3,053","9,106",56,"2,266,246",3925.0,0.0,15.642
Equatorial Guinea,"8,074",314,"5,019",74,"1,438,395",27579.0,5305.0,9.524
Dominican Republic,"7,951","37,858","23,572",310,"10,932,304",909898.0,600000.0,78.731
Botswana,"7,817","3,835","17,868",266,"2,388,308",31628.0,0.0,15.91
Thailand,"7,702","4,314",466,1,"69,936,240",523830.0,81429.0,501.888
Brazil,"7,011","1,248,447","63,081","1,653","213,732,948",24809790.0,8000733.0,"1,434.08"
Dominica,"6,989",6,"2,288",.,"72,125",17775.0,337.0,0.517
Bosnia and Herzegovina,"6,728","35,210","55,722","2,235","3,264,896",0.0,0.0,19.389
Peru,"6,678","26,248","49,439","1,647","33,327,621",676387.0,492795.0,203.772
North Macedonia,"6,657","20,836","68,086","2,029","2,083,307",38626.0,0.0,12.288
Belarus,"6,487","7,197","35,571",249,"9,446,902",92000.0,26100.0,60.201
Albania,"5,991","28,353","44,653",806,"2,875,349",6073.0,655.0,15.147
Colombia,"5,753","86,524","49,435","1,284","51,303,536",2340554.0,1009672.0,271.463
Ecuador,"5,665","39,210","19,429",969,"17,850,462",338180.0,146952.0,96.665
South Africa,"5,444","21,840","26,023",890,"59,888,210",292623.0,292623.0,302.114
Jamaica,"5,328","22,932","14,304",226,"2,971,216",135473.0,0.0,13.948
Paraguay,"5,146","37,179","32,677",670,"7,200,447",75687.0,12140.0,35.875
Fiji,"5,069",2,75,2,"901,490",27705.0,0.0,4.316
Azerbaijan,"4,883","31,370","28,011",383,"10,210,105",859338.0,439985.0,42.607
Moldova,"4,638","12,902","59,905","1,338","4,026,657",82267.0,9476.0,11.5
Iraq,"4,632","95,380","22,604",360,"40,919,097",152962.0,0.0,172.119
Guatemala,"4,439","10,506","11,175",386,"18,171,777",152733.0,1823.0,77.073
Namibia,"4,371","1,317","17,670",221,"2,576,485",2526.0,0.0,10.564
Georgia,"4,361","7,216","72,403",973,"3,983,201",26427.0,0.0,15.733
Jordan,"4,358","61,669","64,749",756,"10,281,719",543095.0,122131.0,43.481
Indonesia,"4,256","109,958","5,682",154,"275,767,009",10781266.0,5717460.0,"1,059.64"
Mongolia,"4,172","6,177","4,736",8,"3,319,145",0.0,0.0,13.137
Armenia,"4,125","17,119","68,345","1,259","2,967,553",565.0,0.0,12.339
El Salvador,"4,031","1,480","10,211",315,"6,511,643",460565.0,15456.0,24.609
Suriname,"4,030",451,"15,747",308,"590,711",34630.0,0.0,2.41
Ukraine,"3,984","405,375","42,575",850,"43,528,763",445859.0,5.0,151.543
Belize,"3,970",61,"30,964",789,"403,209",34262.0,0.0,1.651
Egypt,"3,832","38,545","2,027",120,"103,826,342",148987.0,0.0,361.847
Sri Lanka,"3,830","2,902","4,428",28,"21,483,057",925242.0,0.0,80.7
Eswatini,"3,710",62,"14,858",572,"1,169,482",27601.0,0.0,3.949
Tunisia,"3,683","37,661","22,818",780,"11,914,543",191625.0,10796.0,39.553
Philippines,"3,646","146,519","7,812",135,"110,711,091",1093651.0,162065.0,362.243
Bolivia,"3,624","38,098","23,914","1,055","11,796,372",365333.0,165163.0,39.381
Vietnam,"3,609",229,27,0.4,"98,018,310",63758.0,0.0,340.821
Morocco,"3,415","4,841","13,479",239,"37,249,722",4583664.0,4180155.0,113.548
Algeria,"3,364","32,786","2,665",70,"44,463,324",0.0,0.0,144.294
Bhutan,"3,296",42,"1,180",1,"778,197",478219.0,0.0,2.503
Papua New Guinea,"2,737","7,528",930,7,"9,078,024",1081.0,0.0,23.575
Honduras,"2,586","115,180","19,526",479,"10,026,526",55000.0,2639.0,23.691
Solomon Islands,"2,455",1,27,.,"699,872",2000.0,0.0,1.567
Nigeria,"2,432","7,632",780,10,"210,078,731",1081548.0,0.0,429.423
Ghana,"2,374","1,414","2,890",24,"31,573,869",755686.0,0.0,68.418
India,"2,191","1,200,979","9,728",122,"1,390,530,992",104408484.0,15529157.0,"2,708.77"
Mauritania,"2,179",225,"3,799",95,"4,743,824",2930.0,0.0,8.176
Kenya,"2,129","44,227","2,664",43,"54,685,584",569244.0,0.0,99.287
Bangladesh,"2,122","98,427","4,126",59,"165,962,319",5686885.0,930151.0,329.12
Angola,"2,080",846,697,16,"33,652,304",245442.0,0.0,62.44
Nicaragua,"1,877","2,323","1,006",27,"6,685,654",0.0,0.0,12.146
Uzbekistan,"1,775","1,528","2,509",19,"33,844,834",256958.0,0.0,57.706
Cambodia,"1,720","2,273",267,2,"16,898,196",1241947.0,299949.0,25.953
Zimbabwe,"1,684",877,"2,481",102,"15,030,471",269732.0,34969.0,21.038
Cameroon,"1,649","3,886","2,282",34,"27,055,300",400.0,0.0,39.02
Senegal,"1,622",179,"2,308",63,"17,083,884",379900.0,0.0,24.448
Venezuela,"1,542","15,623","6,164",63,"28,373,143",250000.0,0.0,47.255
Myanmar,"1,423","7,517","2,607",59,"54,693,139",1000000.0,40000.0,81.257
Nepal,"1,236","2,961","9,479",103,"29,542,041",0.0,0.0,34.465
Guinea,"1,141","2,252","1,563",10,"13,407,156",81429.0,27867.0,15.455
Togo,"1,016","2,616","1,424",14,"8,428,407",100000.0,0.0,7.495
Mali,983,"4,293",572,20,"20,699,744",26226.0,0.0,17.639
Zambia,974,785,"4,794",65,"18,780,343",106.0,0.0,18.529
Uganda,972,118,878,7,"46,851,395",220893.0,0.0,37.613
Ethiopia,952,"55,189","1,955",27,"117,159,125",0.0,0.0,96.611
Rwanda,821,"1,868","1,775",24,"13,199,759",349702.0,0.0,10.372
Sudan,787,"3,834",675,46,"44,639,104",100010.0,0.0,34.37
Afghanistan,592,"2,724","1,445",64,"39,604,950",120000.0,0.0,19.132
Sierra Leone,542,"1,095",494,10,"8,102,294",42566.0,1781.0,4.204
Malawi,432,"1,220","1,734",58,"19,510,895",251368.0,0.0,8.488
Mozambique,425,"9,063","2,153",25,"31,929,609",57305.0,0.0,14.385
South Sudan,315,168,918,10,"11,295,469",947.0,0.0,4.074
